location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor","RM 9,852,727",,,,"16,642.7 m2",
"Seremban, Negeri Sembilan","RM 350,000",(RM 194 / m2),4,4,"1,800 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 510,000",(RM 500 / m2),3,2,"1,021 m2",Apartment
"Kinta, Perak","RM 448,800","(RM 2,877 / m2)",4,4,156 m2,House
"Kinta, Perak","RM 308,800","(RM 3,357 / m2)",4,2,92 m2,House
"Kinta, Perak","RM 478,000","(RM 2,685 / m2)",4,4,178 m2,House
"Kinta, Perak","RM 195,500","(RM 2,642 / m2)",3,2,74 m2,House
"Kinta, Perak","RM 195,500","(RM 2,642 / m2)",3,2,74 m2,House
"Kinta, Perak","RM 278,880","(RM 3,002 / m2)",4,2,92.9 m2,House
"Kinta, Perak","RM 448,800","(RM 2,877 / m2)",4,4,156 m2,House
"Kinta, Perak","RM 408,800","(RM 2,297 / m2)",4,4,178 m2,House
"Penampang, Sabah","RM 811,170",,5,3,229 m2,House
